fragvol.l,fragvol.r,fragvol.h,fragkind,fragsize.l,fragsize.r,fragsize.h,fragshp,fraground,fraghard,chkey,chfragskey
NA,NA,NA,,5,40,75,,,,42894646,73502224
NA,NA,NA,,5,40,75,,,,42894647,73502225
0,9,17,,2,4,5,,,,42894648,73502226
10,18,26,,5,40,75,,,,42894648,73502227
0,5,9,,75,162,250,,,,42894648,73502228
0,9,17,,2,4,5,,,,42894649,73502229
10,18,26,,5,40,75,,,,42894649,73502230
0,5,9,,75,162,250,,,,42894649,73502231
NA,NA,NA,,5,40,75,,,,42894650,73502232
0,2,3,,2,4,5,,,,42894651,73502233
0,2,3,,2,4,5,,,,42894652,73502234
0,6,11,,2,4,5,,,,42894688,73502289
32,42,51,,5,40,75,,,,42894688,73502290
0,7,14,,75,162,250,,,,42894688,73502291
0,14,28,,2,4,5,,,,42894689,73502292
19,35,51,,5,40,75,,,,42894689,73502293
0,7,14,,75,162,250,,,,42894689,73502294
0,3,6,,2,4,5,,,,42894696,73502307
0,3,6,,5,40,75,,,,42894696,73502308
NA,NA,NA,,5,40,75,,,,42894697,73502309
0,2,4,,2,4,5,,,,42894698,73502310
0,2,4,,5,40,75,,,,42894698,73502311
9,13,17,,75,162,250,,,,42894698,73502312
9,13,17,,250,625,1000,,,,42894698,73502313
0,3,5,,2,4,5,,,,42894699,73502314
0,3,5,,5,40,75,,,,42894699,73502315
11,16,20,,75,162,250,,,,42894699,73502316
0,3,6,,250,625,1000,,,,42894699,73502317
0,3,5,,2,4,5,,,,42894700,73502318
0,3,5,,5,40,75,,,,42894700,73502319
11,16,20,,75,162,250,,,,42894700,73502320
0,3,6,,250,625,1000,,,,42894700,73502321
NA,NA,NA,,5,40,75,,,,42894701,73502322
0,2,4,,2,4,5,,,,42894702,73502323
0,2,4,,5,40,75,,,,42894702,73502324
9,13,17,,75,162,250,,,,42894702,73502325
9,13,17,,250,625,1000,,,,42894702,73502326
0,3,5,,2,4,5,,,,42894703,73502327
0,3,5,,5,40,75,,,,42894703,73502328
11,16,20,,75,162,250,,,,42894703,73502329
0,3,6,,250,625,1000,,,,42894703,73502330
0,3,5,,2,4,5,,,,42894704,73502331
0,3,5,,5,40,75,,,,42894704,73502332
11,16,20,,75,162,250,,,,42894704,73502333
0,3,6,,250,625,1000,,,,42894704,73502334
NA,NA,NA,,5,40,75,,,,42894705,73502335
0,2,3,,2,4,5,,,,42894707,73502336
0,2,3,,5,40,75,,,,42894707,73502337
NA,NA,NA,,5,40,75,,,,42894708,73502338
0,3,6,,2,4,5,,,,42894722,73502375
0,2,3,,5,40,75,,,,42894722,73502376
0,7,14,,2,4,5,,,,42894723,73502377
0,5,9,,5,40,75,,,,42894723,73502378
0,6,11,,2,4,5,,,,42894724,73502379
0,5,9,,5,40,75,,,,42894724,73502380
0,3,6,,2,4,5,,,,42894728,73502384
0,2,3,,5,40,75,,,,42894728,73502385
0,3,6,,2,4,5,,,,42894729,73502386
0,2,3,,5,40,75,,,,42894729,73502387
0,6,11,,2,4,5,,,,42894730,73502388
0,2,3,,5,40,75,,,,42894730,73502389
0,2,3,,2,4,5,,,,42894731,73502390
0,2,3,,2,4,5,,,,42894732,73502391
0,2,3,,2,4,5,,,,42894733,73502392
0,7,14,,2,4,5,,,,42894739,73502402
