unifiedcl,rvindicator,chkey,chunifiedkey
GM,No ,45496717,85731672
GP-GM,Yes,45496717,85731673
GM,No ,45496719,85731674
SM,Yes,45496719,85731675
GM,No ,45496720,85731676
GP-GM,Yes,45496720,85731677
PT,Yes,45496721,85731678
GC,Yes,45496722,85731679
GC-GM,Yes,45496724,85731680
PT,Yes,45496725,85731681
GC,Yes,45496726,85731682
GC-GM,Yes,45496727,85731683
CL,Yes,45496729,85731684
CL,Yes,45496730,85731685
CL,Yes,45496733,85731686
CL,Yes,45496734,85731687
SC-SM,Yes,45496739,85731688
SM,No ,45496739,85731689
GC-GM,Yes,45496740,85731690
GM,No ,45496740,85731691
CL,Yes,45496743,85731692
CL,Yes,45496744,85731693
PT,Yes,45496808,85731771
GM,No ,45496809,85731772
SM,Yes,45496809,85731773
GM,No ,45496810,85731774
GP-GM,Yes,45496810,85731775
GW-GM,Yes,45496812,85731776
SC-SM,No ,45496812,85731777
GM,Yes,45496814,85731778
GP-GM,No ,45496814,85731779
SP-SM,No ,45496814,85731780
SM,No ,45496814,85731781
GM,Yes,45496815,85731782
GP-GM,No ,45496815,85731783
SP-SM,No ,45496815,85731784
SM,No ,45496815,85731785
PT,Yes,45496817,85731786
GM,No ,45496818,85731787
SM,Yes,45496818,85731788
GM,No ,45496819,85731789
GP-GM,Yes,45496819,85731790
