aashtocl,rvindicator,chkey,chaashtokey
A-1,No ,45496454,74366558
A-2-4,Yes,45496454,74366559
A-1-a,Yes,45496455,74366560
A-2,Yes,45496504,74366634
A-2,Yes,45496505,74366635
A-2,Yes,45496506,74366636
A-2,Yes,45496507,74366637
A-8,Yes,45496521,74366648
A-2,No ,45496522,74366649
A-1-b,Yes,45496522,74366650
A-1,Yes,45496523,74366651
A-1,Yes,45496524,74366652
A-2,No ,45496538,74366662
A-1-b,Yes,45496538,74366663
A-1-a,Yes,45496539,74366664
A-1,No ,45496587,74366738
A-2,No ,45496587,74366739
A-4,No ,45496587,74366740
A-2-4,Yes,45496587,74366741
A-4,No ,45496588,74366742
A-2,No ,45496588,74366743
A-1,No ,45496588,74366744
A-2-4,Yes,45496588,74366745
A-1-a,Yes,45496589,74366746
A-8,Yes,45496621,74366787
A-2,Yes,45496622,74366788
A-2,Yes,45496623,74366789
A-2,Yes,45496624,74366790
A-2,Yes,45496638,74366801
A-8,Yes,45496639,74366802
A-1,Yes,45496671,74366841
A-2,No ,45496704,74366869
A-1-a,Yes,45496704,74366870
A-2,No ,45496705,74366871
A-1-a,Yes,45496705,74366872
A-2-4,Yes,45496706,74366873
A-2-4,Yes,45496707,74366874
A-7,No ,45496131,74366187
A-6,Yes,45496131,74366188
A-4,Yes,45496179,74366235
A-1-b,Yes,45496180,74366236
A-2-4,No ,45496180,74366237
A-1-a,Yes,45496228,74366300
A-1,Yes,45496229,74366301
A-1,Yes,45496230,74366302
A-1,Yes,45496231,74366303
A-8,Yes,45496245,74366313
A-1,Yes,45496247,74366314
A-1,Yes,45496248,74366315
A-1,No ,45496262,74366329
A-2-4,Yes,45496262,74366330
A-1,Yes,45496263,74366331
A-8,Yes,45496265,74366332
A-8,Yes,45496395,74366491
A-2,No ,45496397,74366492
A-1-b,Yes,45496397,74366493
A-1-a,Yes,45496398,74366494
A-2,Yes,45496412,74366510
A-2,Yes,45496413,74366511
A-8,Yes,45496414,74366512
A-2,Yes,45496415,74366513
A-8,Yes,45496446,74366541
A-1,No ,45496448,74366542
A-4,No ,45496448,74366543
A-2-4,Yes,45496448,74366544
A-2,Yes,45496496,74366627
A-2,Yes,45496497,74366628
A-2,Yes,45496498,74366629
A-8,Yes,45496512,74366641
A-2,Yes,45496513,74366642
A-2,Yes,45496514,74366643
A-8,Yes,45496529,74366654
A-2,No ,45496530,74366655
A-1-b,Yes,45496530,74366656
A-1-a,Yes,45496531,74366657
A-1,Yes,45496582,74366732
A-1,Yes,45496612,74366776
A-1,Yes,45496613,74366777
A-1,Yes,45496614,74366778
A-1,No ,45496615,74366779
A-2-4,Yes,45496615,74366780
A-1-b,Yes,45496616,74366781
A-2,No ,45496616,74366782
A-2,Yes,45496629,74366794
A-2,Yes,45496630,74366795
A-2,Yes,45496631,74366796
A-2,Yes,45496632,74366797
A-2,No ,45496663,74366832
A-1-b,Yes,45496663,74366833
A-1-a,Yes,45496664,74366834
A-8,Yes,45496665,74366835
A-8,Yes,45496714,74366881
A-2,No ,45496716,74366882
A-1-b,Yes,45496716,74366883
A-6,Yes,45496729,74366894
A-7,Yes,45496730,74366895
A-6,Yes,45496733,74366896
A-7,Yes,45496132,74366189
A-7,Yes,45496134,74366191
A-7,Yes,45496141,74366197
A-7,No ,45496143,74366199
A-6,Yes,45496143,74366200
A-4,Yes,45496182,74366238
A-4,Yes,45496209,74366273
A-8,Yes,45496225,74366297
A-2,No ,45496227,74366298
A-1-b,Yes,45496227,74366299
A-8,Yes,45496234,74366304
A-8,Yes,45496241,74366311
A-2,Yes,45496243,74366312
A-8,Yes,45496250,74366317
A-1-a,Yes,45496252,74366318
A-1-b,Yes,45496257,74366324
A-1,Yes,45496266,74366333
A-1,Yes,45496275,74366340
A-1,Yes,45496391,74366488
A-8,Yes,45496400,74366495
A-2,No ,45496402,74366498
A-1-b,Yes,45496402,74366499
A-2,No ,45496409,74366507
A-1-b,Yes,45496409,74366508
A-2,Yes,45496416,74366514
A-1,Yes,45496436,74366532
A-1-b,Yes,45496441,74366536
A-2,No ,45496441,74366537
A-1,Yes,45496443,74366539
A-1-a,Yes,45496450,74366546
A-2,No ,45496452,74366549
A-4,No ,45496452,74366550
A-2-4,Yes,45496452,74366551
A-2,Yes,45496500,74366630
A-8,Yes,45496502,74366632
A-2,Yes,45496509,74366639
A-2,Yes,45496511,74366640
A-8,Yes,45496516,74366644
A-2,Yes,45496518,74366646
A-1,Yes,45496525,74366653
A-1,Yes,45496534,74366659
A-8,Yes,45496536,74366661
A-1,Yes,45496584,74366733
A-2,No ,45496586,74366735
A-4,No ,45496586,74366736
A-2-4,Yes,45496586,74366737
A-2,Yes,45496618,74366784
A-2,Yes,45496620,74366786
A-2,Yes,45496625,74366791
A-8,Yes,45496627,74366792
A-2,Yes,45496634,74366798
A-2,Yes,45496636,74366800
A-8,Yes,45496661,74366831
A-1-a,Yes,45496668,74366838
A-1,Yes,45496670,74366840
A-1-b,Yes,45496709,74366876
A-2-4,No ,45496709,74366877
A-1,Yes,45496711,74366879
A-1-a,Yes,45496720,74366887
A-8,Yes,45496725,74366891
A-7,Yes,45496133,74366190
A-7,Yes,45496135,74366192
A-7,Yes,45496142,74366198
A-2-4,No ,45496183,74366239
A-1-b,Yes,45496183,74366240
A-4,Yes,45496201,74366268
A-1-b,Yes,45496210,74366274
A-2-4,No ,45496210,74366275
A-2,Yes,45496240,74366310
A-1,Yes,45496249,74366316
A-1-b,Yes,45496267,74366334
A-2,No ,45496267,74366335
A-1,Yes,45496276,74366341
